GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
" ""39000""",Ohio,3,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,652187.5,656212,674123.4,654586.3,686206.4,689681.3
" ""40000""",Oklahoma,6,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,192538.6,196030.5,199462.1,190751.7,193518,191583
" ""41000""",Oregon,8,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,225534.5,234308.3,239910.5,237670.4,250099.4,254708.4
" ""42000""",Pennsylvania,2,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,754318,763855.4,772529.5,736470.6,764601.6,772335.9
" ""44000""",Rhode Island,1,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,58771.6,58740.1,59866.6,58155.2,60777.3,62190.9
" ""45000""",South Carolina,5,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,224937.6,231663.3,237511.4,233712.3,244854,250873.4
" ""46000""",South Dakota,4,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,51615.1,51937.8,52360.1,52692.1,55140.4,54959.3
" ""47000""",Tennessee,5,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,355417.5,362363.7,370088.3,366555.2,396576.2,412101.3
" ""48000""",Texas,6,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,1667313,1746543.3,1802912.8,1772185.6,1873473.4,1924007.5
" ""49000""",Utah,7,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,172075,182106,192698.7,194753.7,209975.2,213898.3
" ""50000""",Vermont,1,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,32589.2,32827.8,33207.6,32307.1,33860.8,34609.4
" ""51000""",Virginia,5,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,515167.2,527767.5,541070.2,533828.3,562888,576964.3
" ""53000""",Washington,8,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,527169.4,561785.7,588930.4,590401,630819.8,641143.6
" ""54000""",West Virginia,5,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,75172.4,77406.5,76786.6,73952.9,75520.5,76525.5
" ""55000""",Wisconsin,3,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,321886.8,328832.4,333698.6,322972.7,334517.3,335688.5
" ""56000""",Wyoming,7,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,37620.3,37977.2,38558.2,36181.3,36929.5,37294.2
